Code,Date,OpenPrice,HighestPrice,LowestPrice,ClosePrice,Volume,High-Low,Close-Open,close-rsi %3,close-rsi %7,close-rsi %12,close-rsi %26,close-rsi %60,close-ma3,close-ma7,close-ma12,close-ma26,close-ma60,close-bias3,close-bias7,close-bias12,close-bias26,close-bias60,close-wma3,close-wma7,close-wma12,close-wma26,close-wma60,close-es0.0,close-es0.05,close-es0.1,close-es0.15,close-es0.2,close-es0.25,close-es0.3,close-es0.35,close-es0.4,close-es0.45,close-es0.5,close-es0.55,close-es0.6,close-es0.65,close-es0.7,close-es0.75,close-es0.8,close-es0.85,close-es0.9,close-es0.95,di,close-macd5,close-macd10,close-macd15,%K-4,%D-4,slow %D-4,%K-6,%D-6,slow %D-6,%K-8,%D-8,slow %D-8,%K-10,%D-10,slow %D-10,close-momentum5,close-momentum10,close-momentum15,volume_ma3,volume_ma7,volume_ma12,volume_ma26,volume_ma60,volume_ratio_3,volume_ratio_7,volume_ratio_12,volume_ratio_26,volume_ratio_60,Y
53,20130410,19.51,19.54,19.41,19.5,196,0.13,-0.01,3.703703704,37,48.52941176,45.66666667,47.84482759,19.56333333,19.81,19.77,19.82423077,19.7105,-0.003237349,-0.015648662,-0.013657056,-0.016355276,-0.010679587,19.53333333,19.71357143,19.76038462,19.7822792,19.78468852,19.51,19.51937202,19.53047253,19.54327003,19.55772052,19.57376294,19.59131138,19.61024361,19.63038535,19.65148958,19.67321076,19.69507599,19.71646123,19.73659409,19.75462904,19.76987667,19.78227797,19.79291694,19.80201521,19.79350455,19.4875,19.761,19.7925,19.75633333,69.23076923,29.220747,50.29570533,69.23076923,52.81383134,62.75219754,69.23076923,58.3603735,52.05535749,69.23076923,54.33322634,44.32480646,-0.51,-0.19,-0.37,97,48.85714286,32.66666667,25.38461538,38.71666667,2.020618557,4.011695906,6,7.721212121,5.062419285,1
53,20130411,19.52,19.8,19.52,19.7,31,0.28,0.18,0,37.75510204,45.80152672,43.83561644,48.68421053,19.57,19.76571429,19.7775,19.82076923,19.71283333,0.006642821,-0.00332466,-0.003918594,-0.006093065,-0.000651014,19.60166667,19.68607143,19.74961538,19.77307692,19.78434426,19.5,19.5009686,19.50304725,19.5064905,19.5115441,19.51844074,19.52739342,19.53858526,19.55215414,19.56817031,19.58660538,19.60729179,19.62987674,19.65378616,19.67824033,19.70240751,19.72582238,19.7489794,19.77181369,19.77882932,19.68,19.698,19.791,19.748,64.28571429,43.20884224,41.82708255,64.28571429,46.86145038,59.64255199,64.28571429,60.14608779,54.99368187,64.28571429,56.5951311,46.67549604,-0.33,-0.07,0.15,86.66666667,48.14285714,35.08333333,26.42307692,38.88333333,0.357692308,0.643916914,0.883610451,1.173216885,0.797256751,0
53,20130412,19.71,19.74,19.63,19.66,54,0.11,-0.05,52.63157895,32.96703297,52.98013245,48.52459016,51.01156069,19.62,19.72714286,19.76916667,19.80923077,19.71666667,0.002038736,-0.003403577,-0.005522067,-0.007533395,-0.002874049,19.64666667,19.65964286,19.73153846,19.76116809,19.78261202,19.7,19.69004843,19.68030473,19.67097358,19.66230882,19.65461018,19.64821802,19.64350484,19.64086166,19.64067664,19.64330269,19.64901049,19.65792604,19.669961,19.68476823,19.70180563,19.7206579,19.74163249,19.76463232,19.77488786,19.6725,19.6215,19.7795,19.75266667,27.27272727,44.14467112,38.37182876,27.27272727,34.74023826,53.58677849,27.27272727,51.0551787,56.79564261,27.27272727,55.84414296,49.3679666,-0.02,-0.08,0.05,93.66666667,55.71428571,37.5,27.80769231,39.33333333,0.576512456,0.969230769,1.44,1.941908714,1.372881356,1
53,20130415,19.66,19.76,19.66,19.76,6,0.1,0.1,80,34.48275862,46.42857143,44.8630137,51.68374817,19.70666667,19.69142857,19.775,19.80115385,19.7235,0.00270636,0.003482298,-0.000758534,-0.002078356,0.001850584,19.71666667,19.66785714,19.73012821,19.75752137,19.78403279,19.66,19.66150242,19.66203047,19.66164604,19.66046176,19.65865255,19.65646541,19.65422669,19.65234466,19.65130449,19.65165135,19.65395577,19.65875563,19.66647465,19.67733776,19.69135422,19.70852632,19.72938762,19.75416909,19.76914346,19.735,19.6235,19.779,19.75866667,100,65.1973027,45.44289077,100,50.01801604,51.00322722,100,51.0551787,57.03510336,100,60.84414296,52.22710383,0.25,-0.25,0.15,30.33333333,55.71428571,37.58333333,27.46153846,39.3,0.197802198,0.107692308,0.159645233,0.218487395,0.152671756,0
53,20130416,19.42,19.59,19.42,19.59,4,0.17,0.17,88.23529412,35.95505618,52.44755245,46.51162791,52.99270073,19.67,19.62857143,19.76,19.78923077,19.72633333,-0.004067107,-0.001965066,-0.008603239,-0.010067636,-0.006911235,19.65833333,19.6425,19.70166667,19.74188034,19.77965574,19.76,19.75507512,19.75020305,19.74524691,19.74009235,19.73466314,19.72893962,19.72297934,19.71693786,19.71108702,19.70582567,19.70167567,19.69925338,19.69920852,19.70213643,19.70851567,19.71882106,19.73397947,19.75475218,19.76868629,19.5475,19.6245,19.737,19.7545,100,72.88961039,56.36010661,100,62.76311408,50.85644776,100,51.0551787,55.7120641,100,60.84414296,54.3803587,0.09,-0.34,-0.17,21.33333333,55.14285714,36.91666667,27.15384615,39.31666667,0.1875,0.07253886,0.108352144,0.147308782,0.101738025,1
53,20130417,19.76,19.76,19.75,19.75,6,0.01,-0.01,32.25806452,28.84615385,44.07894737,45.01607717,51.22302158,19.7,19.63857143,19.76083333,19.77807692,19.73166667,0.002538071,0.005673965,-0.000548222,-0.001419598,0.000929133,19.69833333,19.67285714,19.70012821,19.73897436,19.78043169,19.59,19.59825376,19.6060203,19.61328704,19.62001847,19.62616578,19.63168189,19.63654277,19.64077515,19.64448916,19.64791284,19.65142162,19.65555203,19.66098554,19.6684955,19.67888675,19.69305685,19.71238255,19.73827696,19.75975198,19.7525,19.6775,19.71925,19.75416667,0,56.81818182,59.76244151,0,60.13153513,51.22136421,0,50.01351203,54.12860818,0,50.84414296,54.53361358,0.05,-0.26,0.06,5.333333333,47.14285714,36.91666667,24.03846154,38.98333333,1.125,0.127272727,0.162528217,0.2496,0.153911928,0
53,20130418,19.72,19.72,19.59,19.59,3,0.13,-0.13,60.46511628,54.11764706,50.3030303,45.36741214,52.25352113,19.64333333,19.65,19.72583333,19.76115385,19.73283333,-0.002715086,-0.003053435,-0.006886063,-0.008661126,-0.007238359,19.64333333,19.66071429,19.67384615,19.72504274,19.77578689,19.75,19.74241269,19.73560203,19.72949306,19.72400369,19.71904145,19.71450457,19.71028997,19.70631006,19.70252012,19.69895642,19.69578189,19.69333122,19.6921406,19.69294685,19.69666506,19.70444548,19.71802517,19.73944926,19.75926438,19.6225,19.666,19.682,19.74933333,0,50,61.22627373,0,48.59307359,50.51790458,0,47.07233556,52.8515248,0,40.84414296,53.68686846,-0.07,-0.44,-0.18,4.333333333,42.85714286,34.16666667,23.19230769,38.26666667,0.692307692,0.07,0.087804878,0.129353234,0.078397213,1
53,20130419,19.76,20.1,19.76,20.1,45,0.34,0.34,32.65306122,54.76190476,36.36363636,43.29268293,50.48814505,19.81333333,19.73571429,19.74,19.76423077,19.74116667,0.014468371,0.018458198,0.018237082,0.016988733,0.018176906,19.87166667,19.77321429,19.73141026,19.75014245,19.78782514,19.59,19.59762063,19.6045602,19.61092396,19.61680074,19.62226036,19.62735137,19.63210149,19.63652402,19.64063405,19.64447821,19.64818004,19.65199873,19.65639139,19.6620628,19.6699988,19.68155638,19.69882139,19.72450434,19.75080116,20.015,19.7345,19.678,19.7645,100,50,57.42694805,100,54.54545455,51.79857194,100,57.59865135,53.29456204,100,50.01080962,53.67345666,0.34,0.42,0.36,18,21.28571429,37.83333333,24.15384615,38.85,2.5,2.11409396,1.189427313,1.863057325,1.158301158,1
53,20130422,20.1,20.3,20.1,20.17,86,0.2,0.07,80.72289157,72.3880597,54.31472081,51.05820106,53.28947368,19.95333333,19.80285714,19.75333333,19.77038462,19.75283333,0.01085867,0.018539893,0.021093486,0.020212828,0.021119333,20.05,19.88178571,19.7975641,19.78019943,19.80188525,20.1,20.07488103,20.05045602,20.02663859,20.00336015,19.98056509,19.95820541,19.93623552,19.91460961,19.89328532,19.8722391,19.85149902,19.83119924,19.8116544,19.79344396,19.7774991,19.76524511,19.75899819,19.7620539,19.7682611,20.185,19.8245,19.724,19.79416667,35,33.75,47.64204545,35,55.83333333,55.31408779,35,53.31980519,52.664491,35,51.15786845,53.53945664,0.58,0.66,0.16,44.66666667,29.14285714,44.5,26.46153846,40.05,1.925373134,2.950980392,1.93258427,3.25,2.147315855,0
53,20130423,20.17,20.26,19.94,19.94,47,0.32,-0.23,78.37837838,69.4214876,54.08163265,52.08333333,54.64190981,20.07,19.84285714,19.74583333,19.76692308,19.75866667,-0.006477329,0.004895608,0.009833298,0.008755886,0.009177407,20.04333333,19.91607143,19.82628205,19.79276353,19.80802186,20.17,20.16524405,20.1580456,20.14849579,20.13667203,20.12264127,20.10646162,20.08818243,20.06784384,20.0454784,20.02111955,19.99482446,19.96671954,19.93707536,19.90641077,19.87562432,19.84619608,19.82064846,19.80284851,19.78834804,20.02,19.919,19.77175,19.79766667,0,33.75,41.875,0,39.16666667,53.50552956,0,45.28409091,50.80674139,0,49.57892108,53.08966714,0.19,0.44,0.01,59.33333333,28.14285714,47.75,28.11538462,40.81666667,0.792134831,1.670050761,0.984293194,1.671682627,1.151490404,1
