OpenPrice,HighestPrice,LowestPrice,ClosePrice,Volume,High-Low,Close-Open,close-rsi %3,close-rsi %7,close-rsi %12,close-rsi %26,close-rsi %60,close-ma3,close-ma7,close-ma12,close-ma26,close-ma60,close-bias3,close-bias7,close-bias12,close-bias26,close-bias60,close-wma3,close-wma7,close-wma12,close-wma26,close-wma60,close-es0.0,close-es0.05,close-es0.1,close-es0.15,close-es0.2,close-es0.25,close-es0.3,close-es0.35,close-es0.4,close-es0.45,close-es0.5,close-es0.55,close-es0.6,close-es0.65,close-es0.7,close-es0.75,close-es0.8,close-es0.85,close-es0.9,close-es0.95,di,close-macd5,close-macd10,close-macd15,%K-4,%D-4,slow %D-4,%K-6,%D-6,slow %D-6,%K-8,%D-8,slow %D-8,%K-10,%D-10,slow %D-10,close-momentum5,close-momentum10,close-momentum15,volume_ma3,volume_ma7,volume_ma12,volume_ma26,volume_ma60,volume_ratio_3,volume_ratio_7,volume_ratio_12,volume_ratio_26,volume_ratio_60,Y,Y
22.6,22.6,22.6,22.6,2,0,0,27.84810127,40.90909091,43.88489209,42.13836478,50.58139535,22.83,22.97,22.935,23.09807692,22.985,-0.010074463,-0.016107967,-0.014606497,-0.021563567,-0.016750054,22.725,22.90392857,22.92846154,23.00407407,23.07378689,22.66,22.6884724,22.71677859,22.74475106,22.77222021,22.7990116,22.82494113,22.84980839,22.87338883,22.89542561,22.91562424,22.93365696,22.94919485,22.96200673,22.97220433,22.98077437,22.99057964,23.00760415,23.03783539,23.04099161,22.6,22.9395,22.92975,22.9295,50,75,71.875,50,61.11111111,74.53703704,50,70.83333333,70.05208333,50,76.66666667,54.83333333,-0.41,-0.26,-0.52,36.33333333,45.42857143,28.5,28.84615385,32.55,0.055045872,0.044025157,0.070175439,0.069333333,0.061443932,22.84,1
22.68,22.84,22.68,22.84,16,0.16,0.16,0,38.79310345,40.84507042,38.90675241,48.19711538,22.7,22.93714286,22.93333333,23.08576923,22.98583333,0.006167401,-0.004235177,-0.004069767,-0.010645919,-0.006344488,22.73,22.87142857,22.91384615,22.98495726,23.06903279,22.6,22.60442362,22.61167786,22.62171266,22.63444404,22.6497529,22.66748234,22.68743294,22.70935553,22.73294153,22.75781212,22.78351133,22.80951691,22.83530437,22.86054303,22.88558078,22.91246371,22.94646353,22.99405185,23.01894203,22.8,22.898,22.93075,22.90816667,100,75,73.95833333,100,77.77777778,73.61111111,100,70.83333333,72.65625,100,76.66666667,60.5,-0.39,-0.02,0.01,41.66666667,47.42857143,29.66666667,29.38461538,32.46666667,0.384,0.337349398,0.539325843,0.544502618,0.492813142,22.9,1
22.9,22.9,22.9,22.9,1,0,0,27.5862069,40.33613445,49.39759036,45.0310559,50.29585799,22.78,22.92428571,22.92583333,23.07576923,22.99233333,0.005267779,-0.001059388,-0.001126822,-0.007617048,-0.004015831,22.83,22.86214286,22.90871795,22.97119658,23.06621858,22.84,22.82822118,22.81716779,22.8072569,22.79888881,22.79243823,22.7882447,22.78660153,22.78774221,22.79182369,22.79890606,22.80893123,22.82171015,22.83694784,22.85438012,22.87418558,22.89797097,22.930494,22.97864667,23.00999493,22.9,22.838,22.93475,22.91283333,100,75,76.04166667,100,83.33333333,74.53703704,100,70.83333333,73.69791667,100,76.66666667,65.16666667,-0.33,0.04,0.04,6.333333333,22,29.41666667,24,32.23333333,0.157894737,0.045454545,0.033994334,0.041666667,0.031023785,22.73,0
22.73,22.73,22.73,22.73,17,0,0,83.33333333,46.15384615,47.16981132,46.03658537,52.36938032,22.82333333,22.88428571,22.915,23.05423077,22.99883333,-0.004089382,-0.006741994,-0.008073314,-0.014063829,-0.011688999,22.805,22.81357143,22.87858974,22.94558405,23.05761749,22.9,22.89641106,22.89171678,22.88608853,22.87977776,22.87310956,22.86647341,22.86031053,22.85509688,22.85132066,22.84945303,22.84991218,22.85302609,22.8590161,22.86806609,22.88063919,22.89837678,22.9259199,22.970782,23.00449519,22.73,22.738,22.92175,22.90416667,100,87.5,78.125,100,83.33333333,75.46296296,100,83.33333333,76.30208333,100,76.66666667,68.83333333,0.07,-0.34,-0.13,11.33333333,21.57142857,29.5,23.84615385,32.35,1.5,0.78807947,0.576271186,0.712903226,0.525502318,22.73,0
22.73,22.73,22.73,22.73,0,0,0,63.82978723,39.39393939,46.01226994,41.56626506,52.36938032,22.78666667,22.81285714,22.90416667,23.03115385,23.0025,-0.002486834,-0.003632037,-0.007604148,-0.013075934,-0.011846538,22.75833333,22.775,22.85012821,22.92156695,23.04880328,22.73,22.73832055,22.74617168,22.75341328,22.75995555,22.76577739,22.77094202,22.77560869,22.78003875,22.7845943,22.78972651,22.7959517,22.80381565,22.81386046,22.82664626,22.84297939,22.86470142,22.89653191,22.9467038,22.99077043,22.73,22.752,22.88775,22.8955,100,100,84.375,100,83.33333333,76.38888889,100,87.5,78.38541667,100,76.66666667,71.5,0.13,-0.26,-0.26,6,20.42857143,29.33333333,22.96153846,32.15,0,0,0,0,0,22.73,0
22.81,22.81,22.73,22.73,2,0.08,-0.08,26.08695652,27.27272727,46.01226994,40.85365854,51.36476427,22.73,22.74142857,22.89333333,23.00153846,23.00616667,0,-0.000502544,-0.007134537,-0.01180523,-0.012004028,22.73,22.75428571,22.82333333,22.89925926,23.03986885,22.73,22.73041603,22.73161717,22.73351199,22.73599111,22.73894435,22.74228261,22.74596304,22.7500155,22.75456743,22.75986326,22.76627343,22.77428939,22.7845093,22.79765238,22.81473454,22.83776114,22.87155213,22.92503342,22.9777319,22.75,22.782,22.86075,22.8805,0,75,84.375,0,75,77.31481481,0,75,77.34375,0,76.66666667,74.16666667,-0.11,-0.28,-0.13,6.333333333,20.71428571,29.5,22.69230769,32.18333333,0.315789474,0.096551724,0.06779661,0.088135593,0.062143967,22.76,1
22.73,22.76,22.73,22.76,2,0.03,0.03,0,27.27272727,46.01226994,37.62057878,51.36476427,22.74,22.75571429,22.8675,22.96961538,23.00666667,0.000879507,0.000188336,-0.004700995,-0.009125768,-0.01072153,22.745,22.75892857,22.80282051,22.88136752,23.03179781,22.73,22.7300208,22.73016172,22.7305268,22.73119822,22.73223609,22.73368478,22.73558706,22.7380062,22.74105535,22.74493163,22.74995039,22.75657364,22.76543105,22.77735667,22.79355091,22.81620891,22.85031931,22.90553008,22.96534531,22.7525,22.7725,22.83525,22.878,100,75,84.375,100,83.33333333,81.01851852,100,75,76.30208333,100,80,76.5,-0.14,-0.47,-0.1,1.333333333,5.714285714,29.5,20.76923077,31.38333333,1.5,0.35,0.06779661,0.096296296,0.063728093,23.16,1
23.07,23.16,23.07,23.16,37,0.09,0.09,100,58.92857143,39.31034483,36.39344262,50.1905972,22.88333333,22.83571429,22.88166667,22.95461538,23.01683333,0.012090313,0.014200813,0.012164032,0.008947421,0.006220085,22.955,22.86,22.84782051,22.89547009,23.03682514,22.76,22.75850104,22.75701617,22.75557902,22.75423964,22.75305902,22.75210543,22.75145547,22.75120248,22.75147491,22.75246581,22.75447271,22.75794418,22.76353018,22.77214967,22.78516318,22.80496713,22.83677141,22.89097707,22.95507804,23.1375,22.82,22.829,22.8965,100,75,81.25,100,83.33333333,81.94444444,100,81.25,76.82291667,100,80,77.83333333,0.43,-0.07,0.3,13.66666667,10.71428571,17.66666667,21.80769231,31.83333333,2.707317073,3.453333333,2.094339623,1.69664903,1.162303665,23.38,1
23.38,23.38,23.38,23.38,8,0,0,100,81.11111111,54.80225989,44.28152493,53.77008653,23.1,22.91285714,22.9125,22.95153846,23.03066667,0.012121212,0.020387805,0.02040371,0.018668097,0.015168182,23.20333333,22.99607143,22.92448718,22.92698006,23.04873224,23.16,23.13992505,23.11970162,23.09933685,23.07884793,23.05826476,23.03763163,23.01700942,22.99648099,22.97616371,22.95623291,22.93695999,22.91876651,22.90229462,22.88850477,22.87887239,22.8759737,22.8852557,22.91787936,22.96532414,23.38,22.95,22.844,22.93116667,100,75,75,100,83.33333333,81.94444444,100,87.5,78.90625,100,80,78.16666667,0.65,0.72,0.31,15.66666667,9.571428571,16.66666667,21.84615385,31.26666667,0.510638298,0.835820896,0.48,0.366197183,0.255863539,23.16,0
23.16,23.16,23.16,23.16,5,0,0,100,80.68181818,59.39086294,48.8700565,54.99398315,23.23333333,22.95,22.90666667,22.945,23.04,-0.003156385,0.009150327,0.011059371,0.009370233,0.005208333,23.23333333,23.05785714,22.9625641,22.94242165,23.05297268,23.38,23.36799625,23.35397016,23.33790053,23.31976959,23.29956619,23.27728949,23.2529533,23.2265924,23.19827367,23.16811645,23.136328,23.10325991,23.0694915,23.03595334,23.00415429,22.97677896,22.95946735,22.96409143,22.98605793,23.16,23.036,22.894,22.93716667,100,100,81.25,100,83.33333333,81.94444444,100,87.5,80.98958333,100,85,78.5,0.43,0.56,0.17,16.66666667,10.14285714,16.41666667,19.34615385,31.31666667,0.3,0.492957746,0.304568528,0.258449304,0.159659393,23.25,1
