OpenPrice,HighestPrice,LowestPrice,ClosePrice,Volume,High-Low,Close-Open,close-rsi %3,close-rsi %7,close-rsi %12,close-rsi %26,close-rsi %60,close-ma3,close-ma7,close-ma12,close-ma26,close-ma60,close-bias3,close-bias7,close-bias12,close-bias26,close-bias60,close-wma3,close-wma7,close-wma12,close-wma26,close-wma60,close-es0.0,close-es0.05,close-es0.1,close-es0.15,close-es0.2,close-es0.25,close-es0.3,close-es0.35,close-es0.4,close-es0.45,close-es0.5,close-es0.55,close-es0.6,close-es0.65,close-es0.7,close-es0.75,close-es0.8,close-es0.85,close-es0.9,close-es0.95,di,close-macd5,close-macd10,close-macd15,%K-4,%D-4,slow %D-4,%K-6,%D-6,slow %D-6,%K-8,%D-8,slow %D-8,%K-10,%D-10,slow %D-10,close-momentum5,close-momentum10,close-momentum15,volume_ma3,volume_ma7,volume_ma12,volume_ma26,volume_ma60,volume_ratio_3,volume_ratio_7,volume_ratio_12,volume_ratio_26,volume_ratio_60,Y
16.4,16.4,16.39,16.39,2,0.01,-0.01,24.19354839,37.03703704,45.81280788,43.33333333,46.09250399,16.35,16.51142857,16.50666667,16.58076923,16.59833333,0.002446483,-0.007354214,-0.007067851,-0.011505451,-0.012551461,16.34833333,16.45392857,16.48358974,16.53680912,16.5963224,16.26,16.26780604,16.27714711,16.28790595,16.29996349,16.31319763,16.32748033,16.34267336,16.35862356,16.3751583,16.39208285,16.40918267,16.42623791,16.44306572,16.45962199,16.47622079,16.49396472,16.51547092,16.54547259,16.59063632,16.3925,16.488,16.49875,16.5145,0,38.71527778,44.30689103,0,29.95548433,41.15918803,0,34.96661325,33.19668613,0,37.9732906,27.97192954,-0.19,0.04,-0.15,15.66666667,15.42857143,12.25,14.92307692,27.48333333,0.127659574,0.12962963,0.163265306,0.134020619,0.072771377,1
16.39,16.45,16.38,16.42,12,0.07,0.03,21.66666667,50.80645161,45.54455446,45,47.3354232,16.35666667,16.47428571,16.49416667,16.57807692,16.59283333,0.00387202,-0.003295179,-0.004496539,-0.009535299,-0.010416144,16.38333333,16.43107143,16.47025641,16.52490028,16.59047541,16.39,16.3838903,16.37871471,16.37468589,16.3719927,16.37079941,16.3712441,16.37343567,16.37744942,16.38332124,16.39104143,16.40055047,16.41174275,16.42449272,16.43873539,16.45466559,16.47317177,16.49665028,16.52992533,16.58060451,16.4175,16.4445,16.49875,16.50616667,57.14285714,28.00099206,37.25265186,57.14285714,37.55621693,41.54248915,57.14285714,42.10947039,36.22822707,57.14285714,43.68757631,31.04152751,-0.31,-0.19,-0.01,13.33333333,13,13.25,15.26923077,27.45,0.9,0.923076923,0.905660377,0.785894207,0.43715847,0
16.44,16.47,16.41,16.41,22,0.06,-0.03,53.33333333,36.45833333,46.34146341,48.90282132,47.41784038,16.40666667,16.45571429,16.47833333,16.57307692,16.58983333,0.000203169,-0.002778019,-0.00414686,-0.00983987,-0.010839972,16.41,16.415,16.45730769,16.51245014,16.58448087,16.42,16.41819452,16.41587147,16.41320288,16.41039854,16.40769985,16.40537323,16.40370249,16.40297977,16.40349456,16.40552071,16.40930276,16.41504565,16.42292027,16.43311478,16.44599919,16.46253742,16.48515274,16.5189328,16.57257428,16.425,16.389,16.4865,16.50516667,0,18.97321429,31.93452381,0,35.33399471,41.18504952,0,29.60947039,36.80441087,0,33.68757631,32.11112548,0.01,0.04,-0.16,12,15.71428571,14.58333333,15.69230769,27.75,1.833333333,1.4,1.508571429,1.401960784,0.792792793,0
16.49,16.57,16.41,16.41,9,0.16,-0.08,94.11764706,42.1686747,45.32019704,47.93650794,48.55769231,16.41333333,16.43142857,16.48333333,16.56076923,16.58983333,-0.000203087,-0.001304121,-0.004448938,-0.009103999,-0.010839972,16.41166667,16.40357143,16.44679487,16.50037037,16.5785847,16.41,16.41040973,16.41058715,16.41048043,16.41007971,16.40942496,16.40861197,16.40779587,16.40719191,16.40707255,16.40776036,16.40961652,16.41302739,16.41839817,16.42618034,16.43699939,16.45202994,16.47387983,16.50803952,16.56444557,16.45,16.394,16.4935,16.49716667,0,14.28571429,24.9937996,0,18.66732804,35.27205433,0,28.1671627,37.02001774,0,33.68757631,33.18072344,0.15,-0.27,-0.16,14.33333333,14.85714286,13.41666667,14.26923077,27.65,0.627906977,0.605769231,0.670807453,0.630727763,0.325497288,0
16.24,16.36,16.22,16.36,15,0.14,0.12,75,39.24050633,51.68539326,44.59459459,50,16.39333333,16.37857143,16.4625,16.54730769,16.587,-0.002033347,-0.001133886,-0.006226272,-0.011319527,-0.013685416,16.385,16.38571429,16.42782051,16.48549858,16.57104918,16.41,16.41002049,16.41005871,16.41007206,16.41001594,16.40985624,16.40958359,16.40922855,16.40887676,16.40868265,16.40888018,16.40978908,16.41181643,16.41545881,16.42132624,16.43024955,16.44362395,16.46429785,16.49823557,16.55672329,16.325,16.402,16.46475,16.48083333,100,39.28571429,25.13640873,100,29.31547619,32.90844187,100,39.00049603,38.38145795,100,33.68757631,33.72090965,-0.03,-0.18,-0.24,15.33333333,15,14.08333333,14.42307692,27.83333333,0.97826087,1,1.065088757,1.04,0.538922156,1
16.41,16.54,16.41,16.41,12,0.13,0,0,23.1884058,42.03821656,44.14715719,48.58096828,16.39333333,16.38,16.46583333,16.53538462,16.58483333,0.001016673,0.001831502,-0.00339086,-0.007582806,-0.01054176,16.39333333,16.39357143,16.41974359,16.47532764,16.5652459,16.36,16.36250102,16.36500587,16.36751081,16.37000319,16.37246406,16.37487508,16.37722999,16.37955071,16.38190719,16.38444009,16.387384,16.39108986,16.39604823,16.40292837,16.41268716,16.42689916,16.44865318,16.48441201,16.54688712,16.4425,16.412,16.45,16.46983333,0,25,24.38616071,0,26.19047619,29.50316273,0,26.50049603,36.61789816,0,32.53373016,34.43032662,-0.01,-0.17,0.06,12,14,14.83333333,12.23076923,27.85,1,0.857142857,0.808988764,0.981132075,0.430879713,1
16.24,16.44,16.24,16.42,41,0.2,0.18,50,51.2195122,51.44927536,44.88448845,48.92205638,16.39666667,16.40285714,16.44416667,16.51653846,16.57933333,0.001423053,0.001045114,-0.001469619,-0.005844957,-0.009610358,16.40666667,16.40357143,16.41269231,16.46678063,16.55984153,16.41,16.40762505,16.40550059,16.40362662,16.40200064,16.40061602,16.39946252,16.3985305,16.39782028,16.39735824,16.39722004,16.3975612,16.39865392,16.40093135,16.40504986,16.41201537,16.42351933,16.4428552,16.47697081,16.54004277,16.38,16.4045,16.4245,16.46733333,90,47.5,31.51785714,90,41.19047619,31.37566138,90,33.23660714,35.13211615,90,40.20039683,36.20164835,0.01,-0.31,-0.19,22.66666667,16.14285714,15.83333333,13.38461538,27.91666667,1.808823529,2.539823009,2.589473684,3.063218391,1.468656716,1
16.42,16.45,16.42,16.45,4,0.03,0.03,54.54545455,78.57142857,37.96296296,41.40350877,47.16981132,16.42666667,16.41142857,16.43666667,16.505,16.57966667,0.001420455,0.002350279,0.000811194,-0.003332324,-0.007820825,16.43333333,16.41535714,16.41358974,16.46185185,16.55560109,16.42,16.41938125,16.41855006,16.41754399,16.41640013,16.415154,16.41383876,16.41248567,16.41112811,16.40981121,16.40861002,16.40765866,16.40719235,16.40760538,16.4095349,16.41401153,16.42281546,16.43942692,16.47127373,16.53404063,16.4425,16.408,16.3985,16.46033333,100,72.5,46.07142857,100,48.33333333,33.17184744,100,43.39285714,34.62289663,100,40.20039683,36.97297009,0.04,0.05,0.08,19,16.42857143,15.91666667,13.42307692,27.91666667,0.210526316,0.243478261,0.251308901,0.297994269,0.143283582,0
16.47,16.47,16.36,16.44,60,0.11,-0.03,100,66.66666667,45.36082474,44.48529412,50.18050542,16.43666667,16.41428571,16.425,16.49384615,16.57816667,0.000202799,0.00156658,0.000913242,-0.003264621,-0.008334255,16.44,16.4225,16.41410256,16.45703704,16.55102186,16.45,16.44846906,16.44685501,16.4451316,16.44328003,16.4412885,16.43915163,16.43686999,16.43445125,16.43191504,16.42930501,16.42671226,16.42431541,16.42244349,16.42167443,16.42300865,16.42825237,16.44101288,16.46914636,16.5298386,16.4275,16.4035,16.39875,16.4635,72.72727273,65.68181818,52.67045455,72.72727273,60.45454545,37.3586059,72.72727273,52.48376623,36.81254076,72.72727273,43.86201299,37.74934232,0.08,0.18,-0.24,35,23.28571429,19.66666667,13.42307692,28.36666667,1.714285714,2.576687117,3.050847458,4.46991404,2.115158637,1
16.45,16.53,16.45,16.53,5,0.08,0.08,80,56.25,42.55319149,44.64944649,49.17431193,16.47333333,16.43142857,16.40833333,16.48615385,16.57883333,0.003439903,0.005998957,0.007414931,0.002659574,-0.002945523,16.48666667,16.45142857,16.43025641,16.4597151,16.54944262,16.44,16.44042345,16.4406855,16.44076974,16.44065601,16.44032213,16.43974549,16.4389045,16.4377805,16.43636177,16.43465251,16.43269174,16.43058925,16.42858827,16.4271721,16.42725648,16.4306019,16.44086095,16.46623172,16.52534667,16.51,16.4405,16.42125,16.45666667,100,90.68181818,69.09090909,100,77.12121212,47.10091991,100,57.84090909,38.7789706,100,51.98701299,39.15071456,0.12,0.14,-0.01,23,20.85714286,18.91666667,13.57692308,28.3,0.217391304,0.239726027,0.264317181,0.368271955,0.176678445,1
